0x (ERC20)	zrx	ERC20
1inch (BEP20)	1inch	BEP20
1inch (ERC20)	1inch	ERC20
1INCH Token (KCC)	1inch	KCC
3Space Art (ERC20)	pace	ERC20
88mph (ERC20)	mph	ERC20
A3S Protocol (ARBITRUM)	AA	ARBITRUM
Aark (ARBITRUM)	aark	ARBITRUM
AASToken (BEP20)	aast	BEP20
Aave (BEP20)	aave	BEP20
Aave (ERC20)	aave	ERC20
Aave Ethereum USDT (ERC20)	aethusdt	ERC20
Aave Ethereum WETH (ERC20)	aethweth	ERC20
Aavegotchi (ERC20)	ghst	ERC20
Aavegotchi (MATIC)	ghst	MATIC
ABBC (BEP20)	abbc	BEP20
ABBC Coin (MAINNET)	abbc	MAINNET
ABDS Token (ERC20)	abds	ERC20
ABEY (MAINNET)	abey	MAINNET
AB (MAINNET)	AB	MAINNET
Abyss (ERC20)	abyss	ERC20
Acala Token (Mainnet)	aca	Mainnet
Access Protocol (SOL)	ACS	SOL
ACH (ERC20)	ach	ERC20
AC Milan Fan Token (CHZ)	ACM	CHZ
Acquire.Fi (ERC20)	ACQ	ETH
Across Protocol (ERC20)	acx	ERC20
Across Protocol (OPTIMISM)	acx	OPTIMISM
Adappter Token (ERC20)	adp	ERC20
Adventure Gold (ERC20)	agld	ERC20
AdvertisingTimeTrace (MATIC)	att	MATIC
aelf (BEP20)	elf	BEP20
aelf (ERC20)	elf	ERC20
aelf (MAINNET)	elf	MAINNET
Aeneas (MAINNET)	ash	MAINNET
Aergo (ERC20)	aergo	ERC20
Aerodrome (Base)	AERO	BASE
Aeternity (MAINNET)	ae	MAINNET
Aether Games  (MATIC)	aeg	MATIC
Aethir (ERC20)	ATH	ETH
Aevo (ERC20)	AEVO	ETH
Affyn (MATIC)	fyn	MATIC
AGENDA 47 (SOL)	a47	SOL
AgeOfGods (BEP20)	aog	BEP20
AgeOfGods (BSC)	AOG	BSC
Agoras (ERC20)	AGRS	ETH
Agoras (OMNI)	agrs	OMNI
Agoric (MAINNET)	bld	MAINNET
Agro Global Token V2 (BEP20)	agro	BEP20
A Hunters Dream (CRONOS)	caw	CRONOS
A Hunters Dream (ERC20)	CAW	ETH
Ai16zeliza (SOL)	eliza	SOL
ai16z (SOL)	ai16z	SOL
AICODE (ARBITRUM)	aicode	ARBITRUM
AI Companions (BEP20)	aic	BEP20
AIHub (BEP20)	aih	BEP20
AI Meta Club (ARBITRUM)	amc	ARBITRUM
AI Nexus (EGLD)	a1x	EGLD
AIO (BEP20)	aio	BEP20
AIOZ Network (BEP20)	aioz	BEP20
AIOZ Network (ERC20)	AIOZ	ETH
AIPAD (BEP20)	aipad	BEP20
AIPAD (BSC)	AIPAD	BSC
AIPAD (ERC20)	AIPAD	ETH
aiPump (SOL)	aipump	SOL
AirSwap (ERC20)	ast	ERC20
AIT Protocol (BEP20)	ait	BEP20
aixbt by Virtuals (BASE)	aixbt	BASE
Akash Network (Mainnet)	akt	Mainnet
Akita Inu (ERC20)	akita	ERC20
Akropolis (ERC20)	akro	ERC20
Alaska Gold Rush (BEP20)	carat	BEP20
Alaya Governance Token (BEP20)	agt	BEP20
Alchemist AI (SOL)	alch	SOL
Alchemix (ERC20)	alcx	ERC20
Alchemy Pay (BEP20)	ach	BEP20
ALE (BEP20)	ale	BEP20
Aleo (MAINNET)	aleo	MAINNET
Aleph.im (ERC20)	ALEPH	ETH
Alephium (Mainnet)	ALPH	Mainnet
Aleph Zero (MAINNET)	azero	MAINNET
Alex Lab (STX)	ALEX	STX
Algorand	algo	Mainnet
Alien Worlds (ERC20)	tlm	ERC20
ALITA (BEP20)	alita	BEP20
Alkimi (ERC20)	ADS	ETH
AllianceBlock (ERC20)	albt	ERC20
AllianceBlock Nexera (ERC20)	NXRA	ETH
All Sports (ERC20)	soc	ERC20
Alongside Crypto Market Index (ERC20)	amkt	ERC20
ALON (SOL)	alon	SOL
ALPACA (BEP20)	alpaca	BEP20
Alphabet xStock (SOL)	googlx	SOL
Alpha Quark Token (ERC20)	aqt	ERC20
Alpine F1 Team Fan Token (BEP20)	alpine	BEP20
ALTAVA (ERC20)	tava	ERC20
Altered State Token (ERC20)	ASTO	ETH
Altura (BEP20)	alu	BEP20
Alvara Protocol (ERC20)	ALVA	ETH
Alvey Chain (BEP20)	walv	BEP20
Amazon xStock (SOL)	amznx	SOL
Amazy (BEP20)	azy	BEP20
Ambire AdEx (BEP20)	adx	BEP20
Ambire AdEx (ERC20)	adx	ERC20
