target_ticker	target_network	target_address	live_coin	memo_required	rate_status	rate_source_ticker	rate_source_network	rate_amount	provider	fixed	rate_trade_id	trade_status	trade_id	error
AA	ARBITRUM	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
coreum	XRP	rHS2TNSLUyZmGqKxiwQfn7uUH8hZ642pJg	no		missing_from_live_coins									
FERC	ETH	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
mph	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
labs	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
aeg	MATIC	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
combo	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
eqx	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
alita	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
aptr	ARBITRUM	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
xar	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
astros	MATIC	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
atem	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
urus	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
axel	MAINNET	axelar17pd0kc6r2lfruutg7lqnna5q2n2jags9ndmvzs	no		missing_from_live_coins									
BROCCOLIF3B	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
BEER	SOL	E3y5f9eKrQ2WPm9kH99H63mqLQnBMFmqR3QneJ29PnUb	no		missing_from_live_coins									
ben	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
polx	MATIC	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
mblk	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
smile	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
flz	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
bvt	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
bonus	BASE	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
bun	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
tsugt	MATIC	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
CHIPPY	SOL	E3y5f9eKrQ2WPm9kH99H63mqLQnBMFmqR3QneJ29PnUb	no		missing_from_live_coins									
combo	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
oik	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
coreum	MAINNET	core108dlz2a6fgc2gzmsl03ct6ktmjf9hdq34dtgs5	no		missing_from_live_coins									
cec	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
cros	MATIC	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
DOAI	SOL	E3y5f9eKrQ2WPm9kH99H63mqLQnBMFmqR3QneJ29PnUb	no		missing_from_live_coins									
cstar	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
deusd	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
digimon	SOL	E3y5f9eKrQ2WPm9kH99H63mqLQnBMFmqR3QneJ29PnUb	no		missing_from_live_coins									
fmc	TRC20	TU8kwtd2r2ojuyHUYbxu8Vcj9ia2KNzN8f	no		missing_from_live_coins									
GOME	SOL	E3y5f9eKrQ2WPm9kH99H63mqLQnBMFmqR3QneJ29PnUb	no		missing_from_live_coins									
klee	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
memetoon	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
